userid,bookcount,trainingcount,age,gender,goal,trainingduration,trainingcalorie,trainingtimes,trainingdays,runningtimes,cyclingtimes,hikingtimes,allduration,allcalorie,alltimes,alldays,traininggoal,difficulty,maxcomboday,kg,bmi,joinedplans,plans,vip_expire,bought_package
56ac9236c051005c1e540c1f,2,2,31,F,1,5917.45,25008,511,257,50,24,101,11044.07,43647,731,336,2,2,111,9,19.45,0,62,NULL,0
56c2eaded44248a15c373ccc,1,1,32,F,2,77.13,483,2,3,-1,-1,0,77.13,483,3,3,1,1,1,0,18.29,0,8,NULL,0
56e6b99a1a24931c051aa262,1,1,23,F,1,13886.18,134540,935,291,1,0,5,14250.9,136469,945,292,1,1,41,9,20.42,0,21,NULL,0
56eff427935793c9131b98e3,7,6,29,F,2,557.07,3418,21,17,-1,-1,0,620.07,3592,24,19,0,0,2,3,19.53,1,5,NULL,0
56fe37994b1228e06c6973de,3,0,28,F,4,420.5,1421,41,13,6,1,2,669.2,2683,54,17,0,0,7,3,18.21,1,18,2018-11-06 23:59:59,0
572561da2fe47c9a18351fc2,1,1,34,F,2,655.02,4118,43,26,-1,-1,1,713.07,4227,45,27,0,0,7,3,19.49,1,14,NULL,0
57704502a962b1e4084e8891,8,8,31,M,2,1018.42,6860,44,28,-1,-1,0,1601.37,8785,76,58,2,2,5,4,22.84,0,20,NULL,0
579a10cfd11e6b3e053ff1e8,1,0,43,F,1,4349.08,23485,268,139,21,-1,0,6225.01,30737,360,172,1,1,25,7,21.88,1,8,NULL,0
581a89044933037740cbd3b9,34,27,24,F,1,1659.63,15261,29,29,1,-1,44,3874.07,25251,77,74,2,1,7,6,24.91,0,8,NULL,0
58553086387e28075f684ad7,7,7,33,F,1,1897.4,11706,116,67,0,15,101,5407.65,20806,278,119,1,2,20,6,19.52,0,42,NULL,0
585ad800493303397bb636b0,1,1,29,F,2,119.3,753,3,4,-1,-1,0,119.3,753,4,4,1,1,2,0,21.26,1,3,NULL,0
58b437d731f11659b6ae0a71,11,10,31,F,1,556.53,4771,10,10,10,-1,0,793.17,6720,22,17,1,1,4,3,24.62,1,14,NULL,0
58d8ff318c26a3045682fee2,8,7,22,F,1,356.02,2301,6,7,-1,-1,0,356.02,2301,7,7,0,0,1,0,20.2,0,5,NULL,0
5985e49f094afb09d8bcf208,0,0,25,M,3,6673.97,28245,380,266,-1,-1,1,6704.12,28374,382,267,3,2,10,7,21.55,0,14,NULL,0
59f9df1d1cf3d1090d6b2a4e,1,1,35,M,3,975.83,5879,57,35,7,-1,0,1113.15,7445,66,36,0,0,2,4,21.22,0,25,NULL,0
5a5dce5e1cf3d14b0c0c99ae,0,1,23,F,1,67.68,451,1,2,-1,-1,0,67.68,451,2,2,2,1,1,1,20.32,0,8,NULL,0
5abf796b7511ce5db5853baf,1,1,30,F,1,93.98,429,6,7,8,-1,116,3418.73,14697,133,70,1,1,11,3,26.17,0,31,2019-01-23 23:59:59,1
5aced28aba9e9b616dfcde3d,7,4,37,M,0,240.05,2009,3,4,-1,-1,0,240.05,2009,4,4,0,0,1,0,0,0,0,NULL,0
5af29d837511ce46adaf3095,15,14,25,F,1,1684.03,10999,91,31,4,-1,89,4369.58,17946,209,58,1,2,25,6,19,0,18,2018-12-21 23:59:59,1
5b2e061c2e06900883a8e3cd,3,2,25,F,0,111.47,672,1,2,-1,-1,0,111.47,672,2,2,0,0,1,0,0,0,0,NULL,0
5b3c2244ba9e9b08ca0e0f5d,32,30,26,F,1,1741.45,12810,29,28,0,0,8,1984.4,13444,40,35,2,2,3,4,20.45,0,3,NULL,1
5b4d5dbefe6e4359a655d26d,1,1,25,F,4,445.03,3121,22,14,-1,-1,26,1093.48,4570,49,32,1,3,4,3,19.13,0,11,NULL,0
5ba397f9e7b4cc0ebecc0346,1,1,25,M,0,55.03,375,0,1,-1,-1,0,55.03,375,1,1,0,0,1,0,0,0,0,NULL,0
5be2a5b66b76fe06268641cc,2,1,25,M,0,60,631,0,1,-1,-1,0,60,631,1,1,1,0,1,0,0,0,0,NULL,0
55a63925ba9ddac281723b6a,2,1,26,F,1,497.33,3156,27,18,-1,-1,0,497.33,3156,28,18,2,1,3,2,22.03,0,7,NULL,1
55f5a5f8af08465a5e05db87,14,11,25,M,3,682.57,5915,15,11,-1,-1,0,682.57,5915,16,11,2,2,1,4,27.77,0,3,NULL,0
5600e67f9a0826aa33c2149d,1,0,29,M,1,13,91,0,1,-1,-1,0,13,91,1,1,0,0,1,0,20.2,1,1,NULL,0
56415341541bbc2080f35802,17,15,29,M,2,6270.08,48857,495,365,308,275,363,28126.54,149510,1446,811,2,1,695,10,26.3,0,58,NULL,0
5642f298b3d00db630f7a985,1,1,32,M,1,1777.08,10398,145,59,36,2,5,3399.43,31757,191,91,2,2,16,6,23.8,0,13,NULL,0
56db1d958b0f265414a81fd6,8,8,26,F,4,616.77,4496,23,21,0,-1,50,1928.47,10461,75,42,0,0,12,3,24.24,1,16,NULL,0
5700e746aed2c7455688d7b3,1,1,30,F,2,4260.28,22889,277,222,2,-1,0,4312.05,23266,281,224,0,0,13,6,19.95,0,3,NULL,0
57034a9bd7b539d53055dd96,17,16,37,F,2,3763.6,18955,201,147,24,-1,117,7682.93,33174,363,189,2,1,8,7,20.43,1,21,NULL,0
570b0f0870a7d7230557fae0,1,1,25,M,1,231.18,1351,30,25,2,-1,0,321.48,1824,39,30,0,0,9,2,19.72,0,17,NULL,0
574784be9e620b3234cb0e6f,16,14,28,F,1,11542.98,90894,781,340,85,15,8,15564.67,119708,892,398,2,1,21,10,20.24,0,18,NULL,0
574da0dff7f9a5391ba8a307,0,2,27,F,2,324.9,1520,20,20,0,-1,0,331.08,1585,22,21,2,1,2,2,20.2,0,8,NULL,0
576f7c9dde6efa3b05ef4805,1,1,33,F,1,373.13,2047,25,18,-1,-1,0,373.13,2047,26,18,0,0,5,2,22.21,1,7,NULL,0
579f4feb8abb031d05e5acf4,3,1,34,M,2,415.78,3301,22,17,-1,-1,0,415.78,3301,23,17,0,0,2,2,21.46,0,13,NULL,0
57a2126f3a40952405df697c,5,3,37,F,1,213.37,1454,4,5,-1,-1,0,213.37,1454,5,5,2,2,2,0,18.34,0,2,NULL,0
57c7990b31f11605c5efec28,2,2,24,F,1,198.18,1369,6,5,4,-1,5,690.68,3313,17,14,0,0,2,1,48.08,0,12,NULL,0
589ef29f8c26a32953cebc89,1,0,23,F,1,131.85,723,7,7,2,-1,0,235.78,1535,11,10,0,0,5,1,22.41,0,26,NULL,0
58a07b1231f1161975bda593,158,137,36,M,2,11924.25,89822,400,205,-1,-1,0,11924.25,89822,401,205,2,2,14,10,22.47,0,20,2019-01-05 23:59:59,0
58bb8f58387e2803c60cee6b,7,3,25,F,1,466.9,3843,20,21,9,0,0,749.9,5952,34,30,0,0,13,3,17.51,1,26,2018-12-21 23:59:59,0
58f52d34387e28266487938a,24,24,24,F,2,9167.77,31936,771,265,50,19,110,21827.35,64460,1141,305,2,2,153,10,18.37,0,100,NULL,0
59091dd68c26a32b32842c69,0,0,28,F,4,2141.88,13700,148,78,176,-1,13,11050.4,99210,339,186,4,1,12,9,18.37,0,46,NULL,0
